노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
303,청주상주선,86.7,36.37551858,128.3126097,317789.1852,420513.4067
303,청주상주선,86.8,36.37549066,128.3137235,317889.1818,420511.6671
303,청주상주선,86.9,36.37546273,128.3148373,317989.1785,420509.9275
303,청주상주선,87,36.37543479,128.3159511,318089.1779,420508.1879
303,청주상주선,87.1,36.37541634,128.3166959,318156.049,420507.0519
303,청주상주선,87.2,36.37534331,128.3181769,318289.0596,420500.7598
303,청주상주선,87.3,36.37524839,128.3192849,318388.6392,420491.5831
303,청주상주선,87.4,36.37515117,128.3203926,318488.1953,420482.1529
303,청주상주선,87.5,36.3750988,128.3215049,318588.0981,420477.7068
303,청주상주선,87.6,36.37528989,128.3222647,318655.9886,420499.8462
303,청주상주선,87.7,36.37504275,128.3237325,318788.092,420474.2233
303,청주상주선,87.8,36.37501472,128.3248463,318888.0891,420472.4837
303,청주상주선,87.9,36.37498669,128.3259601,318988.0862,420470.7441
303,청주상주선,88,36.37495866,128.3270739,319088.0834,420469.0058
303,청주상주선,88.1,36.37516019,128.3278333,319155.9235,420492.3077
303,청주상주선,88.2,36.37495347,128.3293023,319288.0712,420471.1802
303,청주상주선,88.3,36.37498789,128.3304158,319387.9455,420476.3752
303,청주상주선,88.4,36.37504687,128.3315265,319487.5318,420484.2941
303,청주상주선,88.5,36.3751306,128.3326372,319587.08,420494.9612
303,청주상주선,88.6,36.37541667,128.3333905,319654.2427,420527.6403
303,청주상주선,88.7,36.37537144,128.3348456,319784.8979,420524.4253
303,청주상주선,88.8,36.37552845,128.3359429,319883.1274,420543.2103
303,청주상주선,88.9,36.37570969,128.3370344,319980.8054,420564.6792
303,청주상주선,89,36.37591504,128.3381194,320077.8587,420588.8158
303,청주상주선,89.1,36.3762867,128.338852,320143.0345,420630.9722
303,청주상주선,89.2,36.3763974,128.3402665,320269.8003,420645.0178
303,청주상주선,89.3,36.37667406,128.341327,320364.5445,420677.041
303,청주상주선,89.4,36.3769741,128.3423778,320458.3759,420711.6476
303,청주상주선,89.5,36.37729729,128.343418,320551.2241,420748.8117
303,청주상주선,89.6,36.37776095,128.3441117,320612.7652,420801.1329
303,청주상주선,89.7,36.37801215,128.3454636,320733.6931,420830.6987
303,청주상주선,89.8,36.37840328,128.3464675,320823.1768,420875.3601
303,청주상주선,89.9,36.3788165,128.3474578,320911.4035,420922.4562
303,청주상주선,90,36.37925149,128.3484337,320998.307,420971.9515
303,청주상주선,90.1,36.37979243,128.3490797,321055.4419,421032.7921
303,청주상주선,90.2,36.38014635,128.3503684,321170.5304,421073.6849
303,청주상주선,90.3,36.3805938,128.3513357,321256.6399,421124.5554
303,청주상주선,90.4,36.38104125,128.352303,321342.7494,421175.4259
303,청주상주선,90.5,36.38148869,128.3532704,321428.8589,421226.2965
303,청주상주선,90.6,36.38202572,128.3539183,321486.1687,421286.7091
303,청주상주선,90.7,36.38238354,128.3552051,321601.078,421328.0378
303,청주상주선,90.8,36.38283096,128.3561725,321687.1876,421378.9085
303,청주상주선,90.9,36.38327837,128.3571399,321773.2972,421429.7792
303,청주상주선,91,36.38372577,128.3581073,321859.4069,421480.65
303,청주상주선,91.1,36.38424163,128.3587691,321917.9887,421538.7338
303,청주상주선,91.2,36.38462054,128.3600421,322031.6262,421582.3916
303,청주상주선,91.3,36.38506556,128.3610112,322117.8886,421633.0021
303,청주상주선,91.4,36.38549848,128.3619886,322204.9168,421682.2828
303,청주상주선,91.5,36.38591817,128.3629749,322292.7543,421730.1063
303,청주상주선,91.6,36.38626612,128.3637463,322361.433,421769.6979
303,청주상주선,91.7,36.3867376,128.3649603,322469.6183,421823.5598
303,청주상주선,91.8,36.38713853,128.3659584,322558.55,421869.3191
